stream,richness,abundance
SBS,23,48.467
SBS,17,15.200
SBS,14,13.500
SBS,14,9.633
SBS,18,16.267
SBS,17,10.900
LPS,17,6.767
LPS,14,2.633
LPS,16,6.267
LPS,12,5.200
LPS,16,53.467
LCS,16,14.533
LCS,19,7.333
LCS,22,8.367
LCS,26,12.300
LCS,30,9.267
GAS,12,2.533
GAS,7,1.033
GAS,9,1.967
GAS,7,2.933
GAS,14,2.767
ECS,4,222.222
ECS,5,1.111.111
ECS,7,725.926
ECS,8,577.778
ECS,4,74.074
ECS,4,562.963
EZS,7,2.355.556
EZS,7,2.370.370
EZS,0,0
EZS,0,0
EZS,0,0
EMS,9,8.266.667
EMS,7,829.630
EMS,6,1.200.000
EMS,3,222.222
EMS,7,637.037
LCAS,6,533.333
LCAS,4,340.741
LCAS,4,681.481
LCAS,4,133.333
LCAS,4,192.593